"EDA 14 Analyze the distribution of bookings through different booking channels (e.g., online travel agents,
direct bookings) and calculate the percentage of bookings through each channel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribution_channel,distribution_channel_id,market_segment,market_segment_id,meal,required_car_parking_spaces,total_of_special_requests,is_repeated_guest,reserved_room_type,assigned_room_type,is_repeated_guest,avg_lead_time,,distribution_channel,distribution_channel_id,is_repeated_guest,count(*),,is_repeated_guest,guest_count,,meal,required_car_parking_spaces,total_of_special_requests,is_repeated_guest,count(*),,reserved_room_type,assigned_room_type,is_repeated_guest,count(*)
TA/TO,3,Offline TA/TO,4,HB,0,0,0,A,B,0,120.3594,,,,,,,,,,SC,0,0,1,51,,A,F,1,44
TA/TO,3,Online TA,3,HB,0,1,0,E,F,0,42.8182,,,,,,,,,,HB,0,4,0,41,,A,I,1,39
TA/TO,3,Offline TA/TO,4,BB,0,2,0,D,D,0,136.114,,,,,,,,,,HB,0,1,1,40,,D,K,0,34
TA/TO,3,Offline TA/TO,4,BB,0,0,0,A,A,0,142.9685,,,,,,,,,,SC,0,1,1,39,,D,C,0,32
TA/TO,3,Online TA,3,BB,1,0,0,A,C,0,32.0588,,,,,,,,,,SC,1,2,0,37,,A,B,1,32
TA/TO,3,Online TA,3,BB,1,0,0,H,H,0,38.8235,,,,,,,,,,BB,0,4,1,30,,E,I,0,31
Direct,1,Direct,1,BB,1,2,0,C,C,0,58.875,,,,,,,,,,FB,0,2,0,27,,F,E,0,30
Direct,1,Direct,1,BB,0,0,0,H,H,0,58.8182,,,,,,,,,,Undefined,0,0,1,27,,C,C,1,26
TA/TO,3,Online TA,3,BB,0,2,0,A,D,0,57.6427,,,,,,,,,,BB,0,5,0,27,,D,B,0,23
Direct,1,Direct,1,BB,0,0,0,G,G,0,50.6989,,,,,,,,,,Undefined,0,2,0,25,,E,D,0,21
TA/TO,3,Online TA,3,BB,0,1,0,A,C,0,72.1119,,,,,,,,,,FB,1,0,0,24,,A,G,1,21
TA/TO,3,Online TA,3,BB,1,2,0,E,E,0,87.0571,,,,,,,,,,Undefined,1,0,0,20,,E,A,0,15
Direct,1,Direct,1,BB,0,1,0,F,F,0,69.6767,,,,,,,,,,SC,0,4,0,18,,D,A,1,15
TA/TO,3,Online TA,3,HB,0,2,0,A,A,0,124.0918,,,,,,,,,,HB,0,2,1,15,,G,I,0,14
TA/TO,3,Online TA,3,BB,1,0,0,G,H,0,5,,,,,,,,,,FB,1,2,0,12,,E,K,0,14
TA/TO,3,Offline TA/TO,4,BB,0,2,0,A,A,0,136.692,,,,,,,,,,BB,1,4,0,12,,D,E,1,13
